Tested With			Predicted			Distance
fyc			fyc			70.2373084760534
hy			hy			41.83540989282195
lqf			lqf			52.338980462396115
lsl			lsl			41.51844956030859
ml			ml			33.513371424643644
nhz			nhz			41.710080310008216
rj			rj			52.33548976368089
svj			syj			62.52790622308083
wl			wl			55.4355860773026
wq			wq			50.10647723737287
wyc			wyc			74.70549691110112
xch			xch			60.87852472501651
xxj			xxj			38.15270586032886
yjf			yjf			69.50094898712253
zc			zc			57.04928776274973
zjg			zjg			79.01558840503036
zyf			zyf			46.55721850913849

Accuracy:100.0%
