Tested With			Predicted			Distance
fyc			fyc			113.28557907166872
hy			hy			63.81452117371383
lqf			lqf			78.5336546617552
lsl			lsl			58.94295096439626
ml			ml			47.89096662633878
nhz			nhz			53.92781187286064
rj			rj			71.91141258398666
svj			syj			100.62189601196908
wl			wl			81.2752079177308
wq			wq			70.8866425051958
wyc			wyc			111.56496062549606
xch			xch			86.92428551536237
xxj			xxj			59.06098580348595
yjf			yjf			118.85710972854486
zc			zc			79.27709154133464
zjg			zjg			107.28005777593258
zyf			zyf			74.67888989218602

Accuracy:100.0%
